                  epoch,             train/loss,              test/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                 2.8342,                 2.9954,                 0.0865,                 0.3575,              0.0009802
                      1,                 2.6281,                 2.9004,                 0.1275,                 0.4305,              0.0009604
                      2,                 2.2845,                 2.8354,                  0.169,                  0.489,              0.0009406
                      3,                 1.9237,                 2.8399,                 0.1785,                 0.4725,              0.0009208
                      4,                 1.6284,                 2.8378,                 0.1845,                 0.4635,               0.000901
                      5,                 1.4456,                 2.8372,                  0.182,                 0.4505,              0.0008812
                      6,                 1.3144,                 2.8204,                  0.192,                 0.4565,              0.0008614
                      7,                 1.2234,                 2.7875,                  0.198,                   0.46,              0.0008416
                      8,                 1.1515,                 2.7503,                  0.205,                 0.4785,              0.0008218
                      9,                 1.1001,                 2.7095,                 0.2075,                  0.499,               0.000802
                     10,                  1.047,                 2.6877,                 0.2235,                 0.5115,              0.0007822
                     11,                 1.0058,                  2.656,                 0.2365,                  0.535,              0.0007624
                     12,                0.97441,                  2.637,                  0.249,                 0.5465,              0.0007426
                     13,                 0.9364,                  2.628,                 0.2595,                  0.561,              0.0007228
                     14,                0.91608,                  2.616,                  0.261,                  0.569,               0.000703
                     15,                 0.8935,                 2.6039,                  0.266,                 0.5645,              0.0006832
                     16,                0.87296,                 2.5877,                  0.278,                 0.5815,              0.0006634
                     17,                0.84902,                 2.5708,                  0.284,                 0.5905,              0.0006436
                     18,                0.83394,                 2.5619,                  0.278,                 0.5965,              0.0006238
                     19,                0.81792,                 2.5582,                 0.2855,                  0.601,               0.000604
                     20,                0.80331,                  2.554,                 0.2975,                 0.6125,              0.0005842
                     21,                0.79139,                 2.5691,                 0.3025,                  0.606,              0.0005644
                     22,                0.78043,                 2.5865,                 0.2965,                 0.6045,              0.0005446
                     23,                0.76768,                 2.5924,                    0.3,                  0.608,              0.0005248
                     24,                0.75763,                 2.6103,                 0.3045,                  0.612,               0.000505
                     25,                0.74866,                 2.6273,                 0.3085,                  0.606,              0.0004852
                     26,                0.74113,                 2.6348,                  0.307,                  0.605,              0.0004654
                     27,                0.73203,                 2.6351,                 0.3115,                 0.6035,              0.0004456
                     28,                 0.7239,                 2.6298,                   0.31,                  0.601,              0.0004258
                     29,                0.71993,                 2.6231,                 0.3125,                  0.594,               0.000406
                     30,                0.70999,                 2.6319,                 0.3105,                 0.5995,              0.0003862
                     31,                0.70498,                  2.642,                 0.3085,                  0.603,              0.0003664
                     32,                0.69678,                  2.638,                 0.3125,                  0.599,              0.0003466
                     33,                0.68992,                 2.6455,                 0.3085,                 0.5985,              0.0003268
                     34,                 0.6848,                 2.6583,                 0.3075,                  0.597,               0.000307
                     35,                0.67802,                 2.6558,                 0.3035,                 0.6005,              0.0002872
                     36,                0.67224,                 2.6339,                  0.308,                 0.6025,              0.0002674
                     37,                0.66676,                 2.6409,                 0.3075,                    0.6,              0.0002476
                     38,                0.66064,                 2.6563,                 0.3065,                  0.599,              0.0002278
                     39,                0.65673,                 2.6896,                 0.2975,                 0.5995,               0.000208
                     40,                0.65152,                 2.7121,                  0.293,                 0.5895,              0.0001882
                     41,                0.64761,                 2.7071,                  0.295,                   0.59,              0.0001684
                     42,                0.64089,                  2.701,                 0.3025,                  0.581,              0.0001486
                     43,                0.63713,                 2.6942,                  0.301,                  0.587,              0.0001288
                     44,                0.63341,                 2.6747,                  0.309,                   0.59,               0.000109
                     45,                0.62943,                 2.6643,                 0.3085,                 0.5885,               8.92e-05
                     46,                0.62649,                 2.6649,                 0.3085,                 0.5925,               6.94e-05
                     47,                0.62333,                 2.6657,                 0.3095,                 0.5995,               4.96e-05
                     48,                0.61973,                 2.6684,                 0.3055,                 0.5885,               2.98e-05
                     49,                0.61855,                 2.6733,                 0.3095,                  0.588,                  1e-05
